team,tier,note,source
Mexico,low,Controlled crossing side — builds rather than counters,jwalker_2026
South Africa,medium,Direct — can go long quickly into wide 1v1s,jwalker_2026
South Korea,low,Possession-dominant (75.8%) builds on the ball,jwalker_2026
Czech Republic,low,Crossing- and set-piece-led not a transition side,jwalker_2026
Canada,medium,High press to win it high then recover & repeat,jwalker_2026
Bosnia and Herzegovina,high,Transition over possession — direct & long,jwalker_2026
Qatar,high,Mid-block to create counters most long balls per 90,jwalker_2026
Switzerland,medium,Direct front-3 backed by elite structure,jwalker_2026
Brazil,medium,Can control but structured deeper and counters at speed,jwalker_2026
Morocco,low,Attacking possession-and-crossing led,jwalker_2026
Haiti,high,Quick transition attacks won't overplay,jwalker_2026
Scotland,medium,Mid-block force wide and defend the box,jwalker_2026
United States,medium,Pace in behind from a transition-friendly front line,jwalker_2026
Paraguay,medium,Overlapping fullbacks in transition heavy crossing,jwalker_2026
Australia,medium,Solid block first breaks via wing-backs,jwalker_2026
Turkey,low,Possession & roam suffocating rest-defence,jwalker_2026
Germany,low,Complete domination — controls and counterpresses,jwalker_2026
Curaçao,high,Counter-attacking with pace up top,jwalker_2026
Ivory Coast,high,Counter-attacking at pace off a disciplined base,jwalker_2026
Ecuador,high,Devastating pace on the counter,jwalker_2026
Netherlands,low,Possession side — floods the box not a counter team,jwalker_2026
Japan,low,Possession & crossing counter-press to win it back,jwalker_2026
Sweden,high,Mid-block into counter as a 5-3-2,jwalker_2026
Tunisia,medium,Mid-block first attacks with numbers; open to transition,jwalker_2026
Belgium,medium,Pace in behind to punish high-pressing teams,jwalker_2026
Egypt,high,Counter & transition — goals after fewer than 3 passes,jwalker_2026
Iran,high,Transition and counter-attacking vertical & direct,jwalker_2026
New Zealand,low,Crossing side and struggles in transition,jwalker_2026
Spain,low,Dominate possession — they counter-press not counter,jwalker_2026
Cape Verde,high,Vertical play & counter-attacking pace,jwalker_2026
Uruguay,medium,Counter-press & counter goals but aggressive build-first,jwalker_2026
Saudi Arabia,,No scouting data in source document,
France,medium,Transition goals at pace structure over press,jwalker_2026
Senegal,medium,Press & counter exploit pace in behind,jwalker_2026
Iraq,medium,Direct for territory deep block set-piece focus,jwalker_2026
Norway,medium,Deadly in transition & in behind but crosses to big strikers too,jwalker_2026
Argentina,medium,Mid-block into counter — finds Messi & Álvarez fast,jwalker_2026
Algeria,medium,Dangerous in behind off a high press,jwalker_2026
Austria,low,Possession & rotation counter-press first,jwalker_2026
Jordan,medium,Direct to the front-3 quick play behind from a deep block,jwalker_2026
Portugal,low,Possession & high press — controls not counters,jwalker_2026
DR Congo,high,Direct transitional counter at speed,jwalker_2026
Uzbekistan,medium,Direct play defends a block to deny space behind,jwalker_2026
Colombia,medium,Possession-led but great in transition from a low-block,jwalker_2026
England,medium,Counter/transition at speed alongside 1v1 wide play,jwalker_2026
Croatia,medium,Possession-led but open to counters,jwalker_2026
Panama,medium,Comfortable low-block — can spring from deep,jwalker_2026
Ghana,medium,Get the 10s 1v1 and overlap to cross,jwalker_2026
