team,talent
Algeria,7.5375
Argentina,8.1957
Australia,6.7739
Austria,7.5773
Belgium,7.9652
Bosnia and Herzegovina,7.0950
Brazil,8.1941
Canada,7.2348
Cape Verde,6.9867
Colombia,7.5667
Croatia,7.7826
Czech Republic,7.4783
DR Congo,7.3444
Ecuador,7.1667
England,8.2261
France,8.4000
Germany,8.2739
Ghana,7.3130
Haiti,6.8000
Ivory Coast,7.5391
Japan,7.3864
Mexico,7.3722
Morocco,7.5818
Netherlands,8.1348
New Zealand,6.7565
Norway,7.6304
Paraguay,7.1000
Portugal,8.2217
Qatar,6.9235
Saudi Arabia,6.9783
Scotland,7.4043
Senegal,7.6130
South Korea,7.3000
Spain,8.3913
Sweden,7.5739
Switzerland,7.6522
Tunisia,7.0200
Turkey,7.8087
United States,7.5739
Uruguay,7.7000
